[06:55:06] ======================================================================
[06:55:06] 6-qubit QCBM 약식 검증 실험 시작
[06:55:06] 재시작=16  epochs=300  layers=3  lr=0.1  (코어 16개 프로세스 병렬)
[06:55:06] ======================================================================
[06:55:06] CSV 이미 존재: data/cic_thursday.csv (107.8 MB)
[06:55:06] CSV 로드 (필요 컬럼만): ['Protocol', 'SYN Flag Cnt', 'Pkt Len Mean', 'Label']
[06:55:07] 전체 행: 331125
[06:55:07] Benign 행: 238037 (71.9%)
[06:55:07] 데이터 출처: CSE-CIC-IDS2018 (Benign, 실제) | 표본 238037개 | 비어있지 않은 상태 22/64
[06:55:07] Protocol marginal: [0.62, 0.355, 0.025, 0.0]
[06:55:07] SYN marginal:      [0.934, 0.066]
[06:55:07] Size marginal:     [0.371, 0.334, 0.124, 0.142, 0.024, 0.005, 0.0, 0.0]
[06:55:07] QCBM 파라미터 수: 54 (StronglyEntanglingLayers L=3)
[06:55:07] 학습 시작: 16개 재시작을 16 프로세스로 병렬 실행...
[06:55:08]   [seed  6] epoch    0/300  MMD^2 = 1.512154e-01  (0.4s)[06:55:08]   [seed  8] epoch    0/300  MMD^2 = 1.388657e-01  (0.4s)

[06:55:08]   [seed 15] epoch    0/300  MMD^2 = 1.478410e-01  (0.4s)
[06:55:08]   [seed  0] epoch    0/300  MMD^2 = 1.805493e-01  (0.5s)
[06:55:08]   [seed  1] epoch    0/300  MMD^2 = 1.609028e-01  (0.5s)
[06:55:08]   [seed  3] epoch    0/300  MMD^2 = 1.659096e-01  (0.5s)
[06:55:08]   [seed  5] epoch    0/300  MMD^2 = 1.652074e-01  (0.5s)
[06:55:08]   [seed  2] epoch    0/300  MMD^2 = 1.879997e-01  (0.5s)
[06:55:08]   [seed  4] epoch    0/300  MMD^2 = 1.495049e-01  (0.5s)
[06:55:08]   [seed  9] epoch    0/300  MMD^2 = 1.797220e-01  (0.5s)
[06:55:08]   [seed  7] epoch    0/300  MMD^2 = 2.025643e-01  (0.5s)
[06:55:08]   [seed 10] epoch    0/300  MMD^2 = 1.284651e-01  (0.5s)
[06:55:08]   [seed 14] epoch    0/300  MMD^2 = 1.270631e-01  (0.5s)
[06:55:08]   [seed 12] epoch    0/300  MMD^2 = 1.602270e-01  (0.5s)
[06:55:08]   [seed 11] epoch    0/300  MMD^2 = 1.726991e-01  (0.5s)
[06:55:08]   [seed 13] epoch    0/300  MMD^2 = 1.650027e-01  (0.5s)
[06:55:15]   [seed  6] epoch   25/300  MMD^2 = 5.452746e-03  (7.7s)[06:55:15]   [seed  8] epoch   25/300  MMD^2 = 1.084786e-02  (7.7s)

[06:55:15]   [seed  0] epoch   25/300  MMD^2 = 2.972782e-02  (7.7s)
[06:55:15]   [seed 15] epoch   25/300  MMD^2 = 7.893867e-03  (7.8s)
[06:55:15]   [seed  5] epoch   25/300  MMD^2 = 1.990006e-02  (7.8s)
[06:55:15]   [seed 12] epoch   25/300  MMD^2 = 2.640248e-02  (7.8s)
[06:55:15]   [seed  9] epoch   25/300  MMD^2 = 8.938892e-03  (7.9s)
[06:55:15]   [seed  1] epoch   25/300  MMD^2 = 2.524358e-02  (7.9s)
[06:55:15]   [seed 11] epoch   25/300  MMD^2 = 4.089286e-02  (7.9s)
[06:55:15]   [seed  2] epoch   25/300  MMD^2 = 3.645952e-02  (8.0s)
[06:55:15]   [seed  7] epoch   25/300  MMD^2 = 4.284136e-03  (8.0s)
[06:55:15]   [seed 14] epoch   25/300  MMD^2 = 3.849115e-03  (8.0s)
[06:55:15]   [seed  4] epoch   25/300  MMD^2 = 1.419568e-02  (8.1s)
[06:55:15]   [seed  3] epoch   25/300  MMD^2 = 1.684103e-02  (8.1s)
[06:55:16]   [seed 10] epoch   25/300  MMD^2 = 7.177065e-03  (8.1s)
[06:55:16]   [seed 13] epoch   25/300  MMD^2 = 1.600033e-02  (8.1s)
[06:55:22]   [seed  0] epoch   50/300  MMD^2 = 3.117518e-03  (14.8s)
[06:55:22]   [seed  8] epoch   50/300  MMD^2 = 4.274806e-03  (15.0s)
[06:55:22]   [seed  6] epoch   50/300  MMD^2 = 1.511422e-03  (15.0s)
[06:55:22]   [seed  1] epoch   50/300  MMD^2 = 5.086700e-03  (15.1s)
[06:55:22]   [seed  9] epoch   50/300  MMD^2 = 4.112532e-03  (15.1s)
[06:55:23]   [seed  5] epoch   50/300  MMD^2 = 1.153355e-02  (15.1s)
[06:55:23]   [seed 11] epoch   50/300  MMD^2 = 3.343727e-02  (15.1s)
[06:55:23]   [seed  7] epoch   50/300  MMD^2 = 1.682327e-03  (15.2s)
[06:55:23]   [seed  2] epoch   50/300  MMD^2 = 7.152599e-03  (15.3s)
[06:55:23]   [seed  4] epoch   50/300  MMD^2 = 1.040016e-02  (15.3s)
[06:55:23]   [seed  3] epoch   50/300  MMD^2 = 1.794117e-03  (15.3s)
[06:55:23]   [seed 15] epoch   50/300  MMD^2 = 1.305041e-03  (15.3s)
[06:55:23]   [seed 10] epoch   50/300  MMD^2 = 4.014609e-03  (15.3s)
[06:55:23]   [seed 12] epoch   50/300  MMD^2 = 2.262779e-03  (15.4s)
[06:55:23]   [seed 14] epoch   50/300  MMD^2 = 1.726592e-03  (15.7s)
[06:55:23]   [seed 13] epoch   50/300  MMD^2 = 1.572644e-03  (15.8s)
[06:55:29]   [seed  0] epoch   75/300  MMD^2 = 8.653310e-04  (21.9s)
[06:55:29]   [seed  6] epoch   75/300  MMD^2 = 8.610138e-04  (22.1s)
[06:55:29]   [seed  8] epoch   75/300  MMD^2 = 3.434414e-03  (22.1s)
[06:55:30]   [seed  1] epoch   75/300  MMD^2 = 2.844210e-03  (22.1s)
[06:55:30]   [seed 11] epoch   75/300  MMD^2 = 2.985288e-02  (22.1s)
[06:55:30]   [seed  5] epoch   75/300  MMD^2 = 9.022591e-03  (22.2s)
[06:55:30]   [seed  7] epoch   75/300  MMD^2 = 1.278584e-03  (22.3s)
[06:55:30]   [seed  4] epoch   75/300  MMD^2 = 9.063589e-03  (22.4s)
[06:55:30]   [seed  2] epoch   75/300  MMD^2 = 3.772084e-03  (22.5s)
[06:55:30]   [seed 10] epoch   75/300  MMD^2 = 2.130408e-03  (22.5s)
[06:55:30]   [seed  3] epoch   75/300  MMD^2 = 9.984275e-04  (22.5s)
[06:55:30]   [seed 15] epoch   75/300  MMD^2 = 7.979335e-04  (22.9s)
[06:55:30]   [seed  9] epoch   75/300  MMD^2 = 2.645267e-03  (22.9s)
[06:55:31]   [seed 12] epoch   75/300  MMD^2 = 1.136850e-03  (23.2s)
[06:55:31]   [seed 14] epoch   75/300  MMD^2 = 1.357680e-03  (23.3s)
[06:55:31]   [seed 13] epoch   75/300  MMD^2 = 8.430304e-04  (23.4s)
[06:55:36]   [seed  7] epoch  100/300  MMD^2 = 9.323712e-04  (28.6s)
[06:55:36]   [seed  0] epoch  100/300  MMD^2 = 6.709603e-04  (28.8s)
[06:55:36]   [seed  1] epoch  100/300  MMD^2 = 2.480218e-03  (29.1s)
[06:55:36]   [seed  8] epoch  100/300  MMD^2 = 2.583918e-03  (29.1s)
[06:55:37]   [seed  6] epoch  100/300  MMD^2 = 7.490615e-04  (29.2s)
[06:55:37]   [seed 11] epoch  100/300  MMD^2 = 2.916981e-02  (29.1s)
[06:55:37]   [seed  5] epoch  100/300  MMD^2 = 8.665605e-03  (29.2s)
[06:55:37]   [seed  4] epoch  100/300  MMD^2 = 8.510038e-03  (29.3s)
[06:55:37]   [seed  3] epoch  100/300  MMD^2 = 8.886805e-04  (29.5s)
[06:55:37]   [seed  2] epoch  100/300  MMD^2 = 1.380026e-03  (29.5s)
[06:55:37]   [seed 10] epoch  100/300  MMD^2 = 8.140508e-04  (29.5s)
[06:55:37]   [seed 15] epoch  100/300  MMD^2 = 7.365228e-04  (29.9s)
[06:55:38]   [seed  9] epoch  100/300  MMD^2 = 2.406209e-03  (30.4s)
[06:55:38]   [seed 14] epoch  100/300  MMD^2 = 5.800061e-04  (30.4s)
[06:55:39]   [seed 12] epoch  100/300  MMD^2 = 9.173439e-04  (31.1s)
[06:55:39]   [seed 13] epoch  100/300  MMD^2 = 7.345193e-04  (31.5s)
[06:55:41]   [seed  7] epoch  125/300  MMD^2 = 8.146085e-04  (33.8s)
